user_id,item_id,event_type,created_at,destination_category,event_weight,recency_weight,days_ago,interest_sightseeing,interest_culture,interest_history,interest_nature,interest_beach,interest_adventure,interest_relaxation,interest_strength,booking_rate,save_rate,exploration_rate,conversion_rate,travel_pace_preference,category_loyalty_score,user_unique_dests,user_active_days,feedback_positivity_rate,fb_rate_sightseeing,fb_rate_culture,fb_rate_history,fb_rate_nature,fb_rate_beach,fb_rate_adventure,fb_rate_relaxation,dest_feedback_rate,dest_pos_feedback_count,dest_total_feedback,cat_usage_share_sightseeing,cat_usage_share_culture,cat_usage_share_history,cat_usage_share_nature,cat_usage_share_beach,cat_usage_share_adventure,cat_usage_share_relaxation,cat_recency_sightseeing,cat_recency_culture,cat_recency_history,cat_recency_nature,cat_recency_beach,cat_recency_adventure,cat_recency_relaxation,aggregate_feedback_rating,booked_users_norm,weighted_engagement_norm,Sightseeing_dest_score,Culture_dest_score,History_dest_score,Nature_dest_score,Beach_dest_score,Adventure_dest_score,Relaxation_dest_score,click_frequency,user_item_affinity,category_diversity,trust_score,user_total_feedback_count,label
user_182,dest_38,save_trip,2026-03-01 08:22:35.197000+00:00,Relaxation,3,0.2703,26.16405223,0.7476,0.4526,0.2626,0.5715,0.5232,0.3038,0.5978,0.5684,0.0909,0.3182,0.3636,0.2273,1,0.2405,0.7777,0.933,0.4545,0.5,0.5,0,0.6667,0.6667,0.6667,0,0.3846,0.5783,0.3921,0.0909,0.0909,0.2273,0.2727,0.1364,0.1364,0.0455,0.7747,0.0107,0.1779,0.2119,0.6309,0.3353,0.9022,0.3976,0.3,0.5563,0.7,0,0,0.58,0,0.35,0.75,0,0.6609,0.421,0.339,0.711,1
user_178,dest_57,trip_click,2026-03-05 21:39:22.078000+00:00,Beach,1,0.3394,21.61073185,0.7334,0.3966,0.4024,0.6815,0.3064,0.4356,0.376,0.5578,0.0833,0.2917,0.5,0.125,0,0.4081,0.8483,0.933,0.5833,0.75,0.25,0.5,0.6667,0.8,0.4157,0.4157,0.5333,0.8272,0.5725,0.1667,0.1667,0.3333,0.125,0.2083,0,0,0.1372,0.0673,0.0049,0.188,0.0132,1,1,0.3976,0.7,0.7616,0,0,0,0.4,0.75,0.48,0.7,0.6309,0.4937,0.264,0.412,0.8149,1
user_198,dest_71,trip_click,2026-03-27 06:31:43.744000+00:00,Adventure,1,0.988,0.241036644,0.775,0.2854,0.1936,0.7434,0.3638,0.5087,0.2684,0.686,0.1579,0.2632,0.3684,0.2105,1,0.2135,0.7777,0.933,0.7895,1,0.5,0.5,0.8,1,1,0.4157,0.5806,0.8908,0.614,0.1053,0.2105,0.1053,0.2632,0.1053,0.2105,0,0.029,0.1731,0.4696,0.6078,0.4592,0.0083,1,0.5904,0.3,0.5762,0.55,0,0,0,0.72,0.76,0.48,0.6309,0.5858,0.621,0.775,0.1252,1
user_77,dest_40,view,2026-03-08 23:48:42.736000+00:00,Sightseeing,0.5,0.3961,18.52090942,0.7529,0.1938,0.3133,0.5362,0.5779,0.7196,0.5962,0.5184,0.2727,0.3636,0.2727,0.4545,1,0.2405,0.3348,0.6407,0.4545,0.5,1,0.6667,0.5,0,0,0.4157,0.5161,0.8272,0.614,0.1818,0.0909,0.2727,0.1818,0.1818,0.0909,0,0.623,0.5804,0.3542,0.6145,0.0542,0.4857,1,0.5181,0.5,0.6424,0.73,0,0,0.65,0.55,0,0,0,0.5905,0.509,0.734,0.9473,0
user_7,dest_7,view,2026-03-03 15:45:44.810000+00:00,Beach,0.5,0.3034,23.85630208,0.5024,0.2204,0.121,0.6077,0.7589,0.4357,0.8073,0.1977,0.1667,0.25,0.25,0.25,1,0.6267,0.4586,0.5606,0,0,0,0,0,0,0.4157,0.4157,0.375,0.5238,0.2915,0.0833,0.25,0.0833,0.1667,0.4167,0,0,0.4719,0.4215,0.7291,0.7278,0.2221,1,1,0.7108,0.3,0.4768,0.55,0,0,0,0.89,0.62,0.84,0,0.8165,0.791,0.725,0.1252,0
user_192,dest_9,view,2026-03-22 03:22:57.713000+00:00,Nature,0.5,0.7644,5.372124965,0.5615,0.2949,0.3173,0.7366,0.2392,0.4445,0.5099,0.3579,0.2353,0.2941,0.2941,0.3529,1,0.3006,0.6573,1,0.4706,0.3333,0.5,0.6667,0.4,0.5,0,1,0.5,0.6281,0.1826,0.1765,0.1176,0.1765,0.2941,0.1176,0.0588,0.0588,0.0095,0.0293,0.2726,0.1852,0.5806,0.1266,1,0.5301,0.2,0.404,0.7,0,0,0.85,0,0.8,0.35,0,0.7095,0.598,0.357,0.9681,1
user_12,dest_46,save,2026-03-06 03:50:31.740000+00:00,History,2,0.3438,21.35298113,0.6093,0.1319,0.0646,0.7677,0.3567,0.7196,0.4176,0.4479,0.2,0.4,0,0.4,1,0.317,0.3348,0.7178,0.6,0.5,0,1,0.6667,0.5,1,0.4157,0.5,0.7925,0.5725,0.2,0.1,0.1,0.3,0.2,0.1,0,0.0715,0.099,0.7363,0.2367,0.1892,0.1227,1,0.3133,0.2,0.543,0,0.62,0.68,0.45,0,0,0,0,0.2464,0.671,0.614,0.9009,1
user_50,dest_47,view,2026-03-16 00:58:19.500000+00:00,Adventure,0.5,0.5635,11.47256725,0.8086,0.2409,0.0439,1,0.4084,0.8167,0.391,0.7312,0.1875,0,0.75,0.1875,0,0.519,0.6124,0.5606,0.8125,0.4157,0.3333,1,1,0.5,1,0.4157,0.4545,0.7925,0.6932,0,0.1875,0.0625,0.375,0.125,0.25,0,1,0.2128,0.668,0.1428,0.5771,0.2785,1,0.6024,0.5,0.6887,0.72,0,0,0.65,0,0.78,0,0,0.8075,0.908,0.816,0.6784,1
user_151,dest_97,save_trip,2026-03-21 09:14:55.924000+00:00,Nature,3,0.7361,6.127701227,0.282,0.3954,0.2833,0.6943,0.4311,0.2331,0.8917,0.2541,0,0.5,0.4,0.3,1,0.317,0.3348,0.3903,0.5,0.4157,0,0,0.6667,0.6667,1,0.4157,0.5172,0.7925,0.5297,0,0.1,0.2,0.3,0.3,0.1,0,1,0.5013,0.5904,0.2113,0.4001,0.4964,1,0,0.1,0.4503,0,0,0.38,0.57,0,0,0.5,0,0.4828,0.265,0.375,0.428,1
user_17,dest_26,view,2026-03-07 03:52:24.552000+00:00,Nature,0.5,0.3615,20.35167544,0.6114,0.3571,0.3203,0.2077,0.655,0.4634,0.6489,0.4092,0.1111,0.1667,0.5,0.2222,0,0.4081,0.6996,0.8638,0,0,0.4157,0,0,0,0,0.4157,0.4242,0.7556,0.6932,0.1667,0,0.2778,0.3333,0.1667,0.0556,0,0.0166,1,0.0387,0.2909,0.6419,0.6176,1,0.6627,0.6,0.6887,0.6,0,0,0.82,0,0.78,0.45,0,0.5808,0.434,0.587,0.8561,0
