recency_weight,interest_sightseeing,interest_culture,interest_history,interest_nature,interest_beach,interest_adventure,interest_relaxation,interest_strength,booking_rate,save_rate,exploration_rate,conversion_rate,travel_pace_preference,category_loyalty_score,user_unique_dests,user_active_days,feedback_positivity_rate,fb_rate_sightseeing,fb_rate_culture,fb_rate_history,fb_rate_nature,fb_rate_beach,fb_rate_adventure,dest_feedback_rate,dest_pos_feedback_count,dest_total_feedback,cat_usage_share_sightseeing,cat_usage_share_culture,cat_usage_share_history,cat_usage_share_nature,cat_usage_share_beach,cat_usage_share_adventure,cat_recency_sightseeing,cat_recency_culture,cat_recency_history,cat_recency_nature,cat_recency_beach,cat_recency_adventure,aggregate_feedback_rating,booked_users_norm,weighted_engagement_norm,Sightseeing_dest_score,Culture_dest_score,History_dest_score,Nature_dest_score,Beach_dest_score,Adventure_dest_score,Relaxation_dest_score,click_frequency,user_item_affinity,category_diversity,trust_score,user_total_feedback_count,label
0.5665,0.8854,0.64,0.5604,0.3968,0.2864,0.3768,0.3907,0.7401,0.1111,0.2222,0.5556,0.2778,0,0.5553,0.6996,0.933,0.4444,0,0.5,0.5714,0,1,1,0.3077,0.4636,0.3921,0.0556,0.2222,0.3889,0.2222,0.0556,0.0556,0.6966,0.2322,0.2664,0.0574,1,0.8759,0.3494,0.1,0.3444,0.62,0.68,0.74,0,0,0,0,0,0.6571,0.343,0.305,0.2829,0
0.6287,0.7884,0.4637,0.4996,0.6348,0.256,0.4774,0.1692,0.6443,0.25,0.25,0.375,0.375,1,0.6792,0.6573,0.3903,0.5625,0,1,0.3333,0.7143,0.5,0,0.3077,0.4636,0.3921,0.0625,0.125,0.1875,0.4375,0.125,0.0625,0.0911,0.0287,0.0363,0.0265,0.0653,0.5461,0.7349,0.5,0.4967,0.55,0,0,0.88,0,0.75,0,0.6309,0.64,0.915,0.682,0.8925,1
0.8933,0.6705,0.106,0.0323,0.835,0.6174,1,0.5021,0.6043,0.25,0.5,0.25,0.625,1,0.1757,0.1862,0.1048,0,0,0,0.4157,0,0,0,0.4583,0.6281,0.2915,0.125,0.125,0,0.25,0.25,0.25,0.4912,0.5788,1,0.6644,0.0778,0.3776,0.7952,0.3,0.5232,0,0,0,0.65,0.84,0.55,0.72,0,0.8374,0.808,0.648,0.9473,1
0.231721893,0.692733136,0.43522362,0.331353507,0.519382774,0.378830865,0.4064664,0.565079059,0.505351987,0.134056189,0.199325271,0.541450542,0.259224187,0,0.358615445,0.7777,0.876630016,0.735405647,0.6667,0.092702426,0.809432412,0.530906989,0.907297574,1,0.344447731,0.596006163,0.573863436,0.1429,0.074094353,0.315649458,0.181674729,0.229274729,0.056425271,0.490245693,0.890592596,0.07284278,0.315428677,0.143089428,0.486363021,0.423458715,0.337080971,0.631400258,0.692129962,0.325838059,0,0.675502835,0.131637445,0,0.570394534,0,0.623904975,0.498445849,0.808045384,0.871623414,0
0.3955,0.611,0.399,0.2538,0.437,0.5965,0.5072,0.7956,0.3191,0.0769,0.0769,0.6923,0.0769,0,0.3383,0.5135,0.7921,0,0,0,0,0,0,0.4157,0.275,0.6281,0.9378,0.0769,0.3077,0.1538,0.3077,0.1538,0,0.9361,0.0361,0.4788,0.2879,0.3182,1,0.5301,0.6,0.8808,0.65,0.79,0.72,0,0,0,0,0.6309,0.4591,0.085,0.686,0.578,1
0.292752581,0.7532,0.4286,0.4008,0.7128,0.0554,0.4358,0.2142,0.6639,0.0909,0.3636,0.5,0.3182,1,0.2405,0.8483,0.6407,0,0,0,0,0,0,0,0.465547038,0.793436984,0.668046192,0.2273,0.1364,0.1818,0.2727,0.0909,0.0909,0.1944,0.5902,0.1828,0.3294,0.0982,0.525,0.3731949,0.361246314,0.667567344,0.61762414,0.704498526,0.57049656,0.225744839,0,0,0,0,0.561686247,0.564,0.373,0.9091,0
0.305875672,0.7635,0.4522,0.4022,0.4235,0.2424,0.4141,0.3227,0.6882,0.1538,0.2308,0.5385,0.2308,0,0.1199,0.5135,0.7178,0,0,0,0,0,0,0.4157,0.170431093,0.113396103,0.417912816,0.2308,0.2308,0.2308,0.0769,0.2308,0,0.5985,0.2972,0.0753,0.1758,0.4107,1,0.571402326,0.371382687,0.531688743,0.702669016,0.474324716,0.097298865,0.664228359,0,0,0,0,0.531919013,0.709,0.805,0.8149,0
0.8024,0.7938,0.5682,0.3956,0.4045,0.2774,0.5072,0.3188,0.669,0.2,0.3,0.4,0.2,1,0.317,0.3348,0.5606,0.3,0,0,1,0.5,0,0.3333,0.4,0.6738,0.5725,0.1,0.2,0.1,0.2,0.1,0.3,0.2414,0.1518,0.5635,0.1392,0.8307,0.2037,0.3133,0.3,0.5828,0.6,0.72,0.66,0.38,0,0,0,0,0.6219,0.662,0.602,1,1
0.2786,0.8026,0.2712,0.187,0.6246,0.3219,0.7356,0.4098,0.6761,0.1538,0.3846,0.3846,0.4615,1,0.3383,0.4586,0.8638,0.4615,1,0.25,1,0.5,0.5,0,0.3214,0.5238,0.4854,0.0769,0.3077,0.0769,0.1538,0.3077,0.0769,0.834,0.0467,0.2197,0.8436,0.3669,0.0897,0.253,0.5,0.6026,0.62,0.65,0.42,0,0,0,0,0,0.3933,0.507,0.395,0.726,1
0.4031,0.7124,0.2808,0.4684,0.6673,0.1653,0.4227,0.1727,0.6322,0.0625,0.3125,0.3125,0.1875,0,0.6792,0.6573,0.8638,0.625,1,0.5,0.7143,0.6667,0.5,0,0.5,0.8599,0.7311,0.0625,0.125,0.4375,0.1875,0.125,0.0625,0.2641,0.057,0.1967,0.3229,0.4436,1,0.2169,1,0.9338,0.5,0.6,0.66,0,0,0,0,0.6309,0.4315,0.811,0.474,0.792,1
0.290461433,0.3206,0.2929,0.1181,0.2114,0.9407,0.2631,0.9309,0.3502,0.2,0.1,0.6,0.2,0,0.5839,0.2642,0.2995,0,0.4157,0,0,0,0,0.4157,0.225427629,0.343534621,0.490534937,0,0.2,0.1,0.4,0.3,0,1,0.7025,0.4654,0.7271,0.234,1,0.378160992,0.388408719,0.561666763,0.08345722,0.090411989,0.399705177,0.59233842,0,0.530452316,0,0,0.18291721,0.284,0.361,0.6008,0
0.3943,0.8451,0.5912,0.3687,0.6758,0.2484,0.3556,0.4423,0.6834,0,0.3125,0.5625,0.1875,0,0.1757,0.6124,0.6407,0.625,1,0.5,0.25,1,0.6667,0.4157,0.5333,0.8272,0.5725,0.125,0.25,0.25,0.1875,0.1875,0,0.2161,0.2908,0.5192,0.2395,0.1532,1,0.3976,0.7,0.7616,0,0,0,0.4,0.75,0.48,0.7,0,0.4774,0.039,0.679,0.6951,1
0.3386,0.7905,0.0669,0.0296,0.8713,0.2935,0.767,0.213,0.7443,0.1667,0,0.6667,0.1667,0,0.1757,0.4586,0.5606,0,0,0,0.4157,0,0,0,0.3438,0.6281,0.6542,0.1667,0.1667,0,0.25,0.25,0.1667,0.5869,0.0368,1,0.2678,0.0602,0.0655,0.3133,0.4,0.7881,0.66,0,0,0.6,0,0.42,0,0,0.6458,0.831,0.459,0.7799,1
0.2755,0.6921,0.1633,0.1339,0.7249,0.6383,0.4411,0.3713,0.5642,0.1579,0.1579,0.6316,0.2105,0,0.2135,0.7397,0.7921,0.2632,0.2,0.6667,0,0.3333,0,0.25,0.5,0.7925,0.5725,0.2632,0.1579,0.1053,0.1579,0.1053,0.2105,0.1435,0.0277,0.5022,0.0608,0.893,0.2492,0.5301,0.3,0.5298,0.83,0,0,0.68,0,0.45,0,0,0.6092,0.585,0.368,0.3868,0
0.3541,0.7926,0.2745,0,0.8582,0.4953,0.4723,0.7105,0.6158,0,0.6154,0.3846,0.3077,1,0.5441,0.5135,0.7921,0.6154,0.6,0,1,1,0.6667,0.5,0.5,0.8599,0.7311,0.3846,0.0769,0.0769,0.0769,0.2308,0.1538,0.2599,0.0996,0.7159,0.8575,0.1761,0.039,0.2169,1,0.9338,0.5,0.6,0.66,0,0,0,0,0,0.2962,0.096,0.316,0.214,1
0.4915,0.7907,0.254,0.0894,0.7512,0.7339,0.7784,0.4736,0.5364,0.125,0.3125,0.5,0.3125,1,0.519,0.6124,1,0.8125,1,1,0.5,1,0.5,0.8333,0.2857,0.5783,0.7679,0.25,0.0625,0.125,0.0625,0.125,0.375,0.5182,0.8857,0.0135,0.518,0.0442,0.1363,0.2892,0.8,0.9007,0.38,0,0,0.65,0,0.71,0.5,0,0.7177,0.697,0.783,0.9326,1
0.3356,0.7064,0.377,0.3277,0.7024,0.3773,0.5086,0.5637,0.463,0.0833,0.5,0.25,0.25,1,0.1757,0.4586,0.8638,0.6667,0.5,0.3333,1,0.5,1,0.4157,0.3182,0.3963,0.1826,0.1667,0.25,0.1667,0.1667,0.25,0,0.0068,0.482,0.3597,0.5296,0.1981,1,0.3253,0.4,0.4834,0.7,0.55,0,0,0,0,0.65,0,0.5325,0.622,0.699,0.9939,1
0.437,0.6929,0.4528,0.3112,0.5433,0.4153,0.4317,0.6484,0.4646,0.1429,0.1905,0.5238,0.2857,0,0.4081,0.7777,0.8638,0.7619,0.6667,0,0.8571,0.5,1,1,0.2308,0.3199,0.3921,0.1429,0.0476,0.3333,0.1905,0.2381,0.0476,0.5142,1,0.0805,0.2162,0.1145,0.5207,0.5783,0.1,0.4106,0.55,0,0,0,0.82,0.6,0.76,0,0.6828,0.466,0.801,0.8925,1
0.246,0.5218,0.0988,0.1541,0.6201,0.5064,0.5842,0.7193,0.2848,0.0714,0.5,0.1429,0.5,1,0.4718,0.5646,0.7178,0,0,0.4157,0,0,0,0,0.3462,0.5238,0.3921,0.1429,0,0.1429,0.2143,0.3571,0.1429,0.6894,1,0.6097,0.1587,0.0943,0.3407,0,0.5,0.6159,0.35,0,0,0,0.58,0,0.52,0,0.4391,0.766,0.793,0.8036,1
0.493136419,0.5674,0.6148,0.464,0.6248,0.0947,0.2223,0.3421,0.3819,0.2105,0.1579,0.5263,0.3158,1,0.3605,0.6573,0.7921,0.5263,0.3333,0.6667,0.3333,0.6667,1,0.3333,0.225390933,0.500677958,0.951806546,0.1579,0.1579,0.1579,0.3158,0.0526,0.1579,0.7562,0.4695,0.3863,0.003,0.001,0.4987,0.580544753,0.466180033,0.801549538,0.425888052,0.069894599,0.076658593,0.583090016,0.638832078,0.70981342,0,0.559776609,0.462437309,0.349,0.31,0.9473,0
0.328580835,0.6921,0.1633,0.1339,0.7249,0.6383,0.4411,0.3713,0.5642,0.1579,0.1579,0.6316,0.2105,0,0.2135,0.7397,0.7921,0.2632,0.2,0.6667,0,0.3333,0,0.25,0.5,0.769772347,0.518763846,0.2632,0.1579,0.1053,0.1579,0.1053,0.2105,0.1435,0.0277,0.5022,0.0608,0.893,0.2492,0.569597861,0.3,0.543621273,0.785319162,0.220425467,0.238297802,0.602553214,0,0.315957486,0,0,0.578340435,0.585,0.368,0.3868,0
0.456831583,0.7477,0.8075,0.8156,0.1229,0.0444,0.1353,0.2625,0.6838,0.1429,0.1429,0.6429,0.2143,0,0.2771,0.4586,0.4772,0,0,0,0,0,0.4157,0,0.284527841,0.583755468,0.786512128,0.0714,0.2857,0.2857,0.2857,0,0.0714,0.6862,0.5193,0.2558,0.2305,1,0.5914,0.519414571,0.6,0.81000903,0.676713574,0.086542562,0.078874234,0.658934815,0,0.463035276,0,0,0.397318716,0.891,0.555,0.7673,0
0.5519,0.692,0.358,0.4199,0.4143,0.2186,0.2956,0.199,0.6844,0.0952,0.2381,0.619,0.1429,0,0.1412,0.7777,0.933,0.619,0.6667,0.5,0.6,0.6667,0.5,1,0.3143,0.6281,0.7679,0.1429,0.1905,0.2381,0.1429,0.1905,0.0952,0.385,0.4099,0.0392,0.7514,0.2687,0.3355,0.4337,0.4,0.8013,0.65,0.74,0.52,0.42,0,0,0,0,0.5482,0.641,0.839,0.7799,0
0.6816,0.846,0.3932,0.4278,0.6652,0.2796,0.6799,0.5664,0.6014,0.0833,0.3333,0.5,0.3333,1,0.4081,0.4586,1,0.5833,1,0.4157,0.5,0,1,0.6667,0.3929,0.6281,0.4854,0.0833,0,0.3333,0.0833,0.1667,0.25,0.381,1,0.0304,0.3334,0.4205,0.5549,0.0241,0.3,0.5762,0.55,0.38,0.61,0,0,0,0,0.6309,0.4505,0.351,0.864,0.4969,1
0.3736,0.5685,0.482,0.5621,0.4345,0.5552,0.572,0.4734,0.2099,0.1875,0.25,0.5,0.3125,1,0.519,0.5646,0.7921,0.3125,0.4157,0.5,0.3333,0,0.5,0,0.4286,0.6738,0.4854,0,0.375,0.1875,0.1875,0.125,0.125,1,0.1166,0.0408,0.1535,0.5204,0.6713,0.5422,0.4,0.6026,0.58,0,0,0.72,0.78,0.84,0,0.6309,0.7105,0.353,0.304,0.214,1
0.58199876,0.817019552,0.430577047,0.391254561,0.589270987,0.298198069,0.430703899,0.447296357,0.676817781,0.078851604,0.236601217,0.491076411,0.10937702,0,0.237977541,0.759829704,0.602725772,0.508923589,0.211344743,0.622028459,0.54640487,1,0.404207218,0.5,0.3438,0.6281,0.6542,0.236601217,0.127224198,0.241796956,0.145098174,0.152480672,0.096698783,0.223328871,0.555161527,0.236778818,0.302934903,0.43509681,0.702553765,0.3494,0.5,0.6159,0.65,0.5,0.72,0,0,0,0,0,0.515918362,0.764359788,0.584072452,0.472383899,0
0.6356,0.7834,0.3881,0.2207,0.6136,0.3448,0.6127,0.3178,0.6588,0.1765,0.3529,0.2353,0.3529,1,0.3006,0.6124,0.8638,0.3529,0,0.4,0.6667,0.3333,0.5,0,0.3438,0.6281,0.6542,0.0588,0.2941,0.1765,0.1765,0.1176,0.1765,0.2454,0.1244,0.3125,0.1646,0.8466,0.0156,0.3494,0.5,0.6159,0.65,0.5,0.72,0,0,0,0,1,0.4444,0.82,0.486,0.7673,1
0.4049,0.7192,0.2152,0.289,0.4589,0.4956,0.4997,0.5428,0.5889,0.0526,0.1053,0.6842,0.1053,0,0.2135,0.7777,0.8638,0.7368,0.6667,0.5,0.8,0.75,0.75,0.4157,0.4737,0.5238,0,0.1579,0.1053,0.2632,0.2105,0.2105,0,0.1434,0.2404,0.1718,0.0723,0.4041,1,0.3614,0.1,0.3046,0.52,0.6,0.67,0.35,0,0,0,0.6309,0.4422,0.232,0.646,0.6608,1
0.357334444,0.7676,0.4533,0.2818,0.732,0.2947,0.7597,0.3858,0.5203,0,0.4706,0.4118,0.2353,0,0.4607,0.6124,0.8638,0.5882,0.5,0.5,0,1,1,0.5,0.394217418,0.699282284,0.6542,0.2353,0.1176,0.0588,0.0588,0.1765,0.3529,0.0732,0.019,0.2673,0.7359,0.1741,0.2533,0.585828769,0.561594289,0.686457192,0.73271743,0,0,0.777753718,0,0.783587151,0.323188579,0,0.79764213,0.117,0.301,0.9172,0
