user_id,item_id,event_type,created_at,destination_category,destination_popularity,cultural_score,adventure_score,relaxation_score,category_diversity,trust_score,user_total_feedback_count,is_strong_engagement,has_positive_feedback,label
user_182,dest_38,save_trip,2026-03-01T08:22:35.197Z,relaxation,0.369,0.582,0.334,0.246,0.421,0.339,19,1,0,1
user_178,dest_57,trip_click,2026-03-05T21:39:22.078Z,mixed,0.833,0.321,0.555,0.866,0.264,0.412,27,1,1,1
user_198,dest_71,trip_click,2026-03-27T06:31:43.744Z,relaxation,0.681,0.971,0.349,0.324,0.621,0.775,2,1,1,1
user_77,dest_40,view,2026-03-08T23:48:42.736Z,mixed,0.358,0.511,0.245,0.491,0.509,0.734,42,0,0,0
user_7,dest_7,view,2026-03-03T15:45:44.810Z,cultural,0.052,0.273,0.388,0.914,0.791,0.725,2,0,0,0
user_192,dest_9,view,2026-03-22T03:22:57.713Z,relaxation,0.409,0.301,0.622,0.637,0.598,0.357,45,0,1,1
user_12,dest_46,save,2026-03-06T03:50:31.740Z,mixed,0.807,0.711,0.994,0.745,0.671,0.614,36,1,1,1
user_50,dest_47,view,2026-03-16T00:58:19.500Z,cultural,0.680,0.652,0.719,0.722,0.908,0.816,17,0,1,1
user_151,dest_97,save_trip,2026-03-21T09:14:55.924Z,cultural,0.668,0.650,0.503,0.703,0.265,0.375,7,1,1,1
user_17,dest_26,view,2026-03-07T03:52:24.552Z,mixed,0.131,0.610,0.955,0.713,0.434,0.587,31,0,0,0
user_197,dest_52,view,2026-02-27T16:44:52.823Z,mixed,0.436,0.437,0.218,0.954,0.831,0.588,12,0,1,1
user_9,dest_32,save_trip,2026-02-26T02:14:19.180Z,cultural,0.037,0.529,0.869,0.606,0.697,0.783,40,1,1,1
user_51,dest_79,save,2026-03-09T13:31:57.611Z,mixed,0.516,0.998,0.378,0.553,0.463,0.472,42,1,1,1
user_27,dest_4,save,2026-03-23T08:43:54.087Z,adventure,0.523,0.828,0.331,0.643,0.258,0.609,38,1,0,1
user_79,dest_49,view,2026-03-04T18:12:38.085Z,adventure,0.998,0.710,0.377,0.543,0.156,0.330,40,0,0,0
user_98,dest_92,save_trip,2026-03-05T20:32:28.920Z,adventure,0.747,0.204,0.552,0.345,0.132,0.304,13,1,0,1
user_159,dest_30,save_trip,2026-02-28T08:38:27.964Z,mixed,0.922,0.742,0.582,0.642,0.091,0.511,18,1,0,1
user_36,dest_14,view,2026-03-19T23:14:46.252Z,cultural,0.002,0.466,0.633,0.407,0.043,0.511,5,0,0,0
user_153,dest_22,view,2026-03-04T23:38:27.895Z,relaxation,0.929,0.623,0.995,0.245,0.673,0.815,43,0,1,1
user_39,dest_18,view,2026-03-13T16:11:02.704Z,mixed,0.135,0.819,0.707,0.487,0.641,0.839,24,0,1,1
user_166,dest_87,view,2026-03-04T06:05:45.631Z,adventure,0.809,0.917,0.430,0.465,0.139,0.403,7,0,0,0
user_128,dest_33,book,2026-03-16T14:07:45.395Z,relaxation,0.784,0.550,0.901,0.711,0.166,0.735,4,1,0,1
user_97,dest_100,view,2026-03-10T13:40:33.403Z,mixed,0.684,0.613,0.674,0.710,0.767,0.673,45,0,0,0
user_40,dest_83,save_trip,2026-03-21T00:59:03.576Z,mixed,0.230,0.500,0.290,0.849,0.839,0.688,21,1,0,1
user_116,dest_2,save_trip,2026-03-23T10:10:24.674Z,relaxation,0.592,0.566,0.355,0.721,0.756,0.620,26,1,0,1
user_48,dest_68,save,2026-03-24T17:19:41.981Z,cultural,0.845,0.332,0.385,0.502,0.387,0.499,46,1,1,1
user_153,dest_38,trip_click,2026-02-26T23:58:16.906Z,relaxation,0.369,0.623,0.995,0.245,0.673,0.815,43,1,0,1
user_29,dest_46,view,2026-03-26T19:50:32.075Z,mixed,0.807,0.839,0.309,0.467,0.830,0.728,17,0,1,1
user_9,dest_45,book,2026-03-03T03:49:48.415Z,relaxation,0.330,0.529,0.869,0.606,0.697,0.783,40,1,1,1
user_137,dest_34,trip_click,2026-03-14T02:46:36.187Z,adventure,0.202,0.644,0.269,0.324,0.802,0.644,22,1,0,1
user_19,dest_31,trip_click,2026-03-05T13:54:31.695Z,mixed,0.823,0.822,0.607,0.631,0.337,0.548,13,1,1,1
user_129,dest_6,save_trip,2026-03-02T10:29:28.719Z,mixed,0.053,0.457,0.878,0.604,0.370,0.628,45,1,1,1
user_52,dest_37,view,2026-03-16T06:42:32.763Z,mixed,0.102,0.340,0.676,0.518,0.798,0.571,48,0,1,1
user_178,dest_36,view,2026-03-21T19:23:16.139Z,adventure,0.235,0.321,0.555,0.866,0.264,0.412,27,0,1,1
user_33,dest_60,view,2026-03-26T10:54:20.497Z,mixed,0.516,0.521,0.482,0.886,0.547,0.626,19,0,1,1
user_169,dest_80,view,2026-03-09T22:35:04.524Z,cultural,0.921,0.295,0.524,0.674,0.338,0.787,16,0,1,1
user_82,dest_56,view,2026-02-28T16:04:40.686Z,mixed,0.175,0.382,0.741,0.593,0.278,0.637,43,0,1,1
user_30,dest_83,trip_click,2026-03-20T00:12:20.608Z,mixed,0.230,0.469,0.372,0.879,0.071,0.881,29,1,1,1
user_40,dest_52,book,2026-03-12T11:53:55.080Z,mixed,0.436,0.500,0.290,0.849,0.839,0.688,21,1,0,1
user_108,dest_66,save,2026-03-23T15:40:27.194Z,adventure,0.876,0.307,0.864,0.623,0.343,0.548,39,1,1,1
